CÓDIGO_Aluno,Class,Grade,level,Activities,Badges,In Class,Points,Speaking tasks,Speaking skill,Speaking total,Quizzes,Quizzes skill,Ratings,Feedbacks
aluno66,ouhzt,6º ano,A0,70,13,0,4907,19,0%,00:00:52,48,65%,5,5
aluno67,icmob,8º ano,A1,65,0,0,4705,11,0%,00:00:45,53,76%,11,3
aluno68,icmob,8º ano,A1,51,12,0,4587,26,0%,00:02:11,25,60%,3,12
aluno69,qdqvo,6º ano,A0,94,1,0,4556,38,0%,00:01:29,53,45%,6,22
aluno70,ouhzt,6º ano,A1,57,8,0,4536,26,0%,00:02:28,28,82%,6,18
aluno71,oiqy9,9º ano,A1,65,3,0,4532,33,0%,00:02:29,29,73%,7,23
aluno72,_ny0606_default,#N/D,#N/D,57,0,0,4401,40,0%,00:07:16,17,57%,12,1
aluno73,eyk3i,8º ano,A2,57,3,0,4321,31,0%,00:06:58,23,88%,6,24
aluno74,oiqy9,9º ano,A1,53,14,0,4319,22,0%,00:02:00,28,59%,2,13
aluno75,1ecn2,8º ano,A1,56,7,0,4222,33,0%,00:01:56,22,28%,9,1
aluno76,2ziol,8º ano,A1,51,0,0,4148,40,0%,00:02:03,11,52%,6,1
aluno77,5aybh,7º ano,A1,42,6,0,4072,32,0%,00:02:21,10,55%,0,14
aluno78,loprm,9º ano,A1,55,5,0,3969,19,0%,00:02:27,33,86%,9,9
aluno79,icmob,8º ano,A2,43,10,0,3959,21,0%,00:02:15,22,74%,4,4
aluno80,udlfi,6º ano,A1,55,0,0,3897,32,0%,00:02:24,20,66%,9,10
aluno81,ymbb7,9º ano,B1,46,0,1,3891,31,0%,00:09:09,15,89%,5,28
aluno82,fof6t,6º ano,A1,55,0,3,3858,33,0%,00:01:56,22,45%,9,16
aluno83,zocoy,9º ano,A2,49,0,0,3856,30,0%,00:03:20,19,79%,11,19
aluno84,p5bmm,8º ano,A0,50,7,0,3782,20,0%,00:00:50,30,69%,4,7
aluno85,ymbb7,9º ano,A0,78,2,0,3758,27,0%,00:01:30,48,69%,3,16
aluno86,fsqaw,8º ano,A0,39,1,2,3755,18,0%,00:00:50,21,63%,16,3
aluno87,dg23e,7º ano,A0,61,0,0,3726,28,0%,00:01:51,30,64%,7,11
aluno88,udlfi,6º ano,A2,61,1,0,3602,34,0%,00:02:38,27,21%,9,26
aluno89,oiqy9,9º ano,A1,44,3,0,3582,29,0%,00:00:50,15,59%,4,4
aluno90,fof6t,6º ano,A1,50,0,3,3566,29,0%,00:01:17,21,58%,8,11
aluno91,l8dt4,7º ano,A0,45,7,0,3495,21,0%,00:00:50,24,55%,4,7
aluno92,ouhzt,6º ano,A1,88,2,0,3457,29,0%,00:01:42,56,52%,4,15
aluno93,icmob,8º ano,A1,42,8,0,3374,15,0%,00:00:52,24,88%,2,12
aluno94,_ny0606_default,#N/D,#N/D,38,4,0,3319,24,0%,00:01:45,14,50%,6,5
aluno95,dg23e,7º ano,A1,40,3,0,3285,25,0%,00:01:23,15,58%,7,13
aluno96,ymbb7,9º ano,A0,60,2,0,3224,20,0%,00:01:12,40,65%,0,16
aluno97,5u3zk,7º ano,A0,50,12,0,3222,9,0%,00:00:20,40,44%,4,0
aluno98,ygz43,7º ano,A1,49,0,0,3204,25,0%,00:02:00,24,64%,9,9
aluno99,qdqvo,6º ano,A0,55,1,0,3203,23,0%,00:01:16,32,77%,4,17
aluno100,dg23e,7º ano,A1,48,4,0,3183,23,0%,00:04:13,22,46%,3,11
aluno101,2ziol,8º ano,A1,51,1,0,3181,25,0%,00:01:29,23,50%,6,11
aluno102,1ecn2,8º ano,A0,51,5,0,3169,19,0%,00:00:41,29,53%,5,0
aluno103,l8dt4,7º ano,A0,60,0,0,3154,26,0%,00:00:52,34,41%,6,6
aluno104,4uz8p,#N/D,#N/D,35,7,0,3103,16,0%,00:01:51,16,60%,3,2
aluno105,qdqvo,6º ano,A2,43,2,0,3028,27,0%,00:02:25,15,62%,6,17
aluno106,ygz43,7º ano,A0,61,6,0,3022,13,0%,00:00:21,45,57%,5,8
aluno107,87ccs,6º ano,A1,54,6,0,2977,18,0%,00:00:29,33,34%,3,15
aluno108,fsqaw,8º ano,A1,37,0,3,2944,24,0%,00:02:15,12,68%,4,18
aluno109,fof6t,6º ano,A0,36,2,5,2932,15,0%,00:00:42,21,55%,5,0
aluno110,l8dt4,7º ano,A0,50,1,0,2914,25,0%,00:00:57,25,65%,3,8
aluno111,6ve7m,9º ano,A2,37,8,0,2908,11,0%,00:00:45,26,77%,0,10
aluno112,2ziol,8º ano,A1,51,0,0,2888,23,0%,00:01:19,25,47%,7,3
aluno113,55338,#N/D,#N/D,43,1,0,2816,18,0%,00:01:04,24,75%,9,3
aluno114,oiqy9,9º ano,A0,50,1,0,2766,14,0%,00:00:32,35,63%,12,10
aluno115,eyk3i,8º ano,A2,42,4,0,2650,20,0%,00:02:34,19,57%,1,12
aluno116,tj173,7º ano,A2,33,1,0,2618,25,0%,00:03:48,8,31%,2,14
aluno117,ouhzt,6º ano,A1,35,3,0,2587,16,0%,00:02:05,19,78%,4,8
aluno118,ouhzt,6º ano,A0,41,1,0,2578,18,0%,00:01:20,22,61%,8,3
aluno119,fof6t,6º ano,A0,55,0,3,2575,12,0%,00:01:04,40,36%,12,0
aluno120,oiqy9,9º ano,A1,36,6,0,2519,14,0%,00:00:51,19,60%,5,7
aluno121,zocoy,9º ano,A2,31,0,0,2446,22,0%,00:02:46,9,69%,6,4
aluno122,ouhzt,6º ano,A0,25,8,0,2367,11,0%,00:00:25,14,67%,0,1
aluno123,eyk3i,8º ano,A2,29,5,0,2341,14,0%,00:01:47,12,73%,5,5
aluno124,fof6t,6º ano,A0,23,3,6,2321,13,0%,00:00:52,10,62%,1,3
aluno125,eyk3i,8º ano,A2,29,0,0,2205,18,0%,00:01:28,11,85%,6,8
aluno126,_ny0606_default,#N/D,#N/D,30,5,0,2154,10,0%,00:03:56,20,61%,4,0
aluno127,udlfi,6º ano,A1,26,0,0,2113,19,0%,00:00:53,7,51%,6,13
aluno128,icmob,8º ano,A1,28,0,0,2103,18,0%,00:01:31,10,73%,4,4
aluno129,orbda,#N/D,#N/D,17,8,0,2066,9,0%,00:02:33,8,91%,0,0
aluno130,_ny0606_default,#N/D,#N/D,27,0,0,2046,14,0%,00:01:46,11,53%,7,0
aluno131,2ziol,8º ano,A1,37,4,0,2031,3,0%,00:00:14,33,70%,1,4
aluno132,l8dt4,7º ano,A0,26,0,0,2030,19,0%,00:01:53,7,21%,8,11
aluno133,dzgln,7º ano,A0,34,3,0,1974,10,0%,00:00:37,21,60%,3,7
aluno134,6ve7m,9º ano,A1,28,4,0,1914,9,0%,00:00:41,16,73%,3,6
aluno135,5aybh,7º ano,A1,32,0,0,1907,15,0%,00:01:20,17,65%,5,9
aluno136,2ziol,8º ano,A1,42,2,0,1894,9,0%,00:00:28,30,51%,3,4
aluno137,ouhzt,6º ano,A1,31,4,0,1881,9,0%,00:00:53,19,53%,4,6
aluno138,fof6t,6º ano,A0,28,0,4,1841,10,0%,00:00:28,18,76%,1,6
aluno139,55338,#N/D,#N/D,23,0,0,1829,13,0%,00:01:48,10,92%,7,0
aluno140,9qp7p,6º ano,A1,19,0,2,1822,12,0%,00:00:33,7,30%,0,13
aluno141,6ve7m,9º ano,A2,30,1,0,1820,14,0%,00:01:48,13,86%,2,9
aluno142,ymbb7,9º ano,A1,24,0,3,1804,14,0%,00:01:00,10,78%,4,10
aluno143,9qp7p,6º ano,A1,28,0,3,1769,12,0%,00:00:37,15,54%,8,6
aluno144,ouhzt,6º ano,A0,40,0,0,1763,16,0%,00:00:47,21,41%,3,11
aluno145,2ziol,8º ano,A0,32,1,0,1742,11,0%,00:00:22,18,68%,3,7
aluno146,olympicstest1,,A0,23,0,0,1715,11,0%,00:00:23,12,100%,4,0
aluno147,udlfi,6º ano,A1,22,2,0,1653,10,0%,00:00:30,12,75%,0,7
aluno148,icmob,8º ano,A1,29,0,0,1645,10,0%,00:00:53,19,67%,1,8
aluno149,zocoy,9º ano,A2,23,1,0,1605,15,0%,00:02:14,8,73%,1,12
aluno150,zocoy,9º ano,A2,24,1,0,1598,12,0%,00:01:22,11,76%,3,8
